referencia,transcricao_simulada
"""Ricardo, o atendente relatou que foi ameaçado com uma faca, e descreveu o suspeito com precisão. O senhor estava nas proximidades no momento do crime. Como isso se encaixa na sua versão de que não tem relação com o ocorrido?""","o atendente relatou que foi ameaçado com uma faca, e descreveu ERRO ERRO com precisão. O senhor EXTRA estava nas proximidades EXTRA no momento do crime. Como EXTRA isso se encaixa na sua versão de que não tem relação ERRO o ocorrido?"""
"""Eu já disse, estava só andando por ali. Alguém deve estar tentando me incriminar.""","""Eu EXTRA já disse, só andando por EXTRA ali. Alguém deve estar tentando me incriminar."""
"""Entendido. Mas as imagens e as provas indicam o contrário. Um detalhe importante: o dinheiro roubado foi encontrado a menos de 200 metros de onde o senhor foi detido. Como o senhor explica isso?""","""Entendido. Mas as imagens e as provas indicam EXTRA EXTRA Um detalhe importante: ERRO dinheiro roubado foi encontrado a menos de 200 metros de onde o senhor ERRO detido. Como o senhor explica isso?"""
"""Isso não é meu. Não sei como esse dinheiro foi parar lá.""","""Isso não é meu. Não sei como esse dinheiro ERRO parar"
"""Ricardo, sabemos que o senhor já teve problemas anteriores relacionados a furtos. Isso pode pesar contra você. Não acha que é o momento de ser honesto e explicar o que realmente aconteceu?""","""Ricardo, sabemos que o ERRO já problemas anteriores relacionados a furtos. EXTRA EXTRA Isso pode ERRO contra ERRO Não acha que é o momento de ser honesto e explicar o que realmente aconteceu?"""
"""Eu tive problemas no passado, mas estou tentando mudar. Não fiz isso. Alguém deve ter armado pra mim.""","""Eu ERRO problemas no EXTRA passado, mas estou tentando mudar. Não fiz ERRO Alguém deve ter armado pra mim."""
"""Eu entendo que queira mudar, mas precisamos lidar com os fatos. A faca, o dinheiro e as imagens estão conectando o senhor ao crime. Talvez tenha sido um momento de desespero? Uma situação difícil?""","entendo que queira mudar, mas precisamos lidar com os fatos. A faca, o dinheiro ERRO as imagens estão conectando o senhor ao Talvez tenha sido EXTRA ERRO momento de desespero? ERRO situação difícil?"""
"""Eu... eu estava precisando de dinheiro, mas não queria machucar ninguém. Só queria assustar, pegar o dinheiro e ir embora.""","ERRO eu estava precisando de dinheiro, mas não ERRO machucar ninguém. Só queria assustar, pegar o dinheiro e ERRO"
"""Ricardo, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências que temos. Se houver algo mais que queira adicionar ou ajustar em sua versão, agora é o momento.""","""Ricardo, agradeço pela sua colaboração. Esta EXTRA será analisada junto ERRO ERRO outras evidências que temos. Se houver algo que queira adicionar ou ajustar em sua versão, agora é EXTRA o momento."""
"""Eu só queria uma chance. Não queria que isso acontecesse.""","""Eu só queria ERRO EXTRA chance. Não queria que isso acontecesse."""
"""Entendido. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo.""","ERRO ERRO será informado sobre os próximos passos do processo. Obrigado pelo seu tempo."""
"""Boa tarde, Jorge Ferreira. Esta entrevista está sendo gravada. O senhor tem o direito de permanecer em silêncio e de contar com a presença de um advogado durante todo o processo. Está ciente de seus direitos?""","""Boa tarde, Jorge Ferreira. Esta entrevista está ERRO gravada. O senhor tem o ERRO de permanecer em silêncio de contar com ERRO de um advogado durante todo o processo. Está ciente de ERRO direitos?"""
"""Sim, estou ciente.""","ERRO estou ciente."""
"""Ótimo. Estamos aqui para falar sobre uma denúncia de corte ilegal de árvores em uma área de preservação ambiental na madrugada de 10 de novembro. O senhor está ciente dessas acusações?""","""Ótimo. Estamos aqui para falar uma denúncia de corte ilegal de árvores em uma ERRO de preservação EXTRA ambiental na EXTRA madrugada ERRO de novembro. O senhor está ciente dessas acusações?"""
"""Sim, mas é um engano. Eu não sabia que era uma área protegida.""","""Sim, mas é um EXTRA engano. EXTRA Eu não sabia que era uma área protegida."""
"""Jorge, pode nos contar o que estava fazendo na madrugada de 10 de novembro próximo à área de preservação ambiental?""","""Jorge, pode nos contar o que estava fazendo madrugada de 10 EXTRA de novembro próximo área de ambiental?"""
"""Eu estava cortando algumas árvores na minha propriedade para fazer lenha. Sempre faço isso nessa época do ano.""","estava cortando algumas EXTRA árvores na minha ERRO para fazer lenha. Sempre faço isso nessa época do ano."""
"""Entendido. E o senhor tem certeza de que a área onde estava cortando as árvores é sua propriedade?""","""Entendido. E o senhor tem certeza que a área onde EXTRA estava cortando árvores é sua propriedade?"""
"""Tenho certeza, pelo menos até onde eu sabia. Nunca imaginei que fosse uma área protegida.""","""Tenho certeza, pelo menos até onde sabia. Nunca imaginei que ERRO EXTRA uma área protegida."""
"""Jorge, temos imagens capturadas por drones que mostram o senhor e sua equipe cortando árvores em uma área claramente sinalizada como de preservação ambiental. Como explica isso?""","EXTRA ""Jorge, temos capturadas por drones que mostram o senhor e sua equipe cortando árvores em EXTRA uma área claramente sinalizada EXTRA como de preservação Como explica isso?"""
"""Eu nunca vi essas placas. Talvez alguém as tenha colocado depois. Eu achei que estava dentro dos limites da minha terra.""","ERRO nunca vi essas placas. Talvez alguém as tenha ERRO depois. Eu ERRO que estava dentro dos limites da minha EXTRA terra."""
"""Entendido. Mas também encontramos um caminhão na sua propriedade carregado com madeira não registrada, e o volume excede o permitido por lei. Como explica isso?""","""Entendido. Mas também encontramos EXTRA um caminhão na sua EXTRA propriedade carregado EXTRA com madeira registrada, e o volume excede o permitido por lei. Como explica isso?"""
"""Eu só queria aproveitar a madeira que já estava cortada. Não sabia que precisava de registro para isso.""","""Eu só queria aproveitar a madeira EXTRA que já estava cortada. Não sabia que EXTRA precisava de ERRO para isso."""
"""Jorge, se o senhor acreditava que estava dentro da legalidade, por que cortou as árvores à noite, quando a visibilidade das placas e demarcações é limitada?""","""Jorge, o senhor que estava dentro EXTRA da legalidade, por que cortou as árvores à noite, quando ERRO visibilidade das placas e demarcações é ERRO"
"""Era só porque durante o dia estamos ocupados com outras tarefas. Não tem nada a ver com esconder nada.""","""Era só porque durante dia estamos ocupados com outras tarefas. Não tem nada a ver com EXTRA ERRO nada."""
"""Entendido. Mas além disso, a denúncia relata barulhos contínuos de motosserras e movimentação de caminhões durante a madrugada. Isso não é consistente com uma atividade legal. Como o senhor explica isso?""","""Entendido. Mas ERRO disso, a denúncia relata barulhos contínuos de motosserras e movimentação de caminhões durante EXTRA Isso não é consistente com uma atividade EXTRA ERRO Como o senhor explica isso?"""
"""Olha, eu não sei quem fez essa denúncia, mas pode ser alguém querendo me prejudicar. Eu estava apenas trabalhando.""","""Olha, eu não EXTRA sei quem fez essa EXTRA denúncia, mas ser alguém querendo me prejudicar. Eu estava apenas trabalhando."""
"""Jorge, as evidências contra o senhor são consistentes: as imagens dos drones, a madeira encontrada e os horários relatados. Este é o momento de esclarecer os fatos. Há algo mais que queira nos contar?""","""Jorge, as evidências contra o ERRO são consistentes: EXTRA as imagens dos drones, a madeira encontrada e os horários relatados. Este EXTRA é ERRO momento de esclarecer os fatos. EXTRA Há algo mais que queira contar?"""
"""Eu... talvez tenha cortado mais árvores do que deveria, mas não sabia que estava errado. Só queria garantir lenha para vender no inverno.""","ERRO talvez tenha ERRO mais árvores do que deveria, mas não que EXTRA estava errado. Só queria garantir lenha para vender no inverno."""
"""Entendo. Mas, ao transportar madeira sem registro e exceder os limites da área autorizada, o senhor cometeu infrações graves. O senhor reconhece isso agora?""","""Entendo. Mas, ao transportar madeira registro exceder os limites da área autorizada, o senhor EXTRA cometeu infrações graves. O senhor isso agora?"""
"""Sim, eu admito. Mas não foi por má intenção.""","""Sim, eu admito. Mas não por EXTRA má intenção."""
"""Jorge, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se houver algo mais que queira acrescentar, agora é o momento.""","""Jorge, agradeço pela sua colaboração. Esta EXTRA gravação será analisada junto com ERRO outras evidências. Se houver algo mais que queira acrescentar, o momento."""
"""Não, já disse tudo. Só quero resolver isso da melhor forma possível.""","""Não, já disse tudo. Só quero resolver isso da melhor forma possível."""
"""Entendido. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo.""","""Entendido. O senhor será informado sobre os próximos do EXTRA processo. Obrigado pelo seu"
"""Boa tarde, Luís Cardoso. Esta entrevista está sendo gravada como parte da investigação sobre falsificação de documentos de propriedade de veículos. O senhor entende seus direitos, incluindo o de permanecer em silêncio e solicitar a presença de um advogado?""","""Boa tarde, Luís EXTRA Cardoso. entrevista está sendo gravada como parte da investigação sobre falsificação de documentos ERRO propriedade de veículos. O senhor entende seus direitos, ERRO o de permanecer EXTRA silêncio e solicitar a presença de um advogado?"""
"""Sim, estou ciente.""","ERRO estou ciente."""
"""Ótimo. Estamos aqui para esclarecer os fatos relacionados aos documentos apreendidos em sua posse. Esses documentos, segundo análise preliminar, são falsificados. O que tem a dizer sobre isso?""","""Ótimo. Estamos aqui para ERRO fatos relacionados aos documentos apreendidos em sua posse. Esses documentos, segundo análise preliminar, são EXTRA falsificados. O que ERRO a dizer isso?"""
"""Eu não sabia que eram falsificados. Comprei esses papéis achando que estavam em ordem.""","""Eu não sabia que falsificados. Comprei esses papéis achando ERRO estavam em ERRO"
"""Luís, pode nos contar como adquiriu esses documentos e com quem estava negociando?""","""Luís, pode nos como adquiriu esses documentos e com quem negociando?"""
"""Foi um conhecido que me ofereceu. Disse que os papéis eram de veículos antigos e que estavam legítimos. Eu só aceitei porque parecia um bom negócio.""","""Foi um conhecido que me ofereceu. Disse que ERRO ERRO eram de antigos e que estavam Eu só aceitei porque parecia um bom negócio."""
"""Entendido. E quem seria esse conhecido? Poderia nos fornecer o nome dele?""","""Entendido. E seria conhecido? Poderia nos fornecer o nome dele?"""
"""Eu só conheço ele como 'Carlos'. Não sei o nome completo.""","""Eu só conheço EXTRA ele como 'Carlos'. Não sei o nome"
"""Luís, além dos documentos falsificados, temos mensagens no seu celular onde o senhor discute ajustes em assinaturas e selos. Como explica isso?""","""Luís, além EXTRA dos ERRO falsificados, temos mensagens no seu celular onde o senhor EXTRA discute ajustes em assinaturas e selos. Como isso?"""
"""Isso foi só uma conversa casual. Não significa que eu estava envolvido em algo errado.""","""Isso ERRO só conversa casual. Não significa que eu estava em algo errado."""
"""Entendido. No entanto, essas mensagens mostram que o senhor tinha conhecimento de que os documentos não eram legítimos. Como justifica isso?""","""Entendido. No entanto, EXTRA essas mensagens EXTRA mostram que o senhor tinha conhecimento de que os documentos não eram legítimos. justifica isso?"""
"""Eu não sabia que era tão sério. Achei que era só uma questão de ajustar detalhes para facilitar a venda.""","EXTRA ""Eu ERRO sabia ERRO era tão sério. Achei que era só questão de ajustar detalhes para facilitar a venda."""
"""Luís, se o senhor acreditava que os documentos eram legítimos, por que discutiu 'ajustes' nas assinaturas e nos selos? Isso não é consistente com sua alegação de que comprou os papéis em boa fé.""","""Luís, ERRO o senhor acreditava que os documentos eram legítimos, por que EXTRA discutiu 'ajustes' nas ERRO e nos selos? Isso não é consistente com ERRO alegação de ERRO comprou os papéis em fé."""
"""Eu só fiz isso porque o Carlos disse que era normal. Não pensei que fosse algo ilegal.""","""Eu só isso porque o Carlos disse que era normal. Não EXTRA pensei que fosse algo ilegal."""
"""Entendido. Mas os compradores afirmaram que foram enganados e que o senhor garantiu a autenticidade dos documentos. Como o senhor explica isso?""","""Entendido. Mas os compradores afirmaram que foram ERRO e que o senhor garantiu a ERRO dos documentos. Como o explica EXTRA isso?"""
"""Eu achei que estava ajudando eles a resolver os problemas com os carros. Nunca quis enganar ninguém.""","achei que estava ajudando eles a resolver os problemas com os carros. Nunca quis enganar EXTRA ninguém."""
"""Luís, as evidências são claras: os documentos, as mensagens e os depoimentos. Este é o momento de ser honesto. Há algo mais que queira acrescentar?""","""Luís, as evidências são claras: os documentos, as mensagens e os depoimentos. Este é o momento de EXTRA EXTRA ser honesto. Há EXTRA algo ERRO que queira acrescentar?"""
"""Eu só queria ganhar algum dinheiro extra. Não sabia que isso ia virar esse problema todo.""","só queria ganhar algum extra. Não sabia que ERRO ia virar esse problema todo."""
"""Entendo. Mas ao vender documentos falsificados, o senhor colocou outras pessoas em risco. Não acha que isso é uma responsabilidade que deve assumir?""","""Entendo. ao ERRO documentos falsificados, EXTRA o EXTRA senhor colocou outras pessoas em risco. Não acha que isso é uma responsabilidade que deve assumir?"""
"""Eu... sim, eu errei. Mas não era minha intenção prejudicar ninguém.""","""Eu... sim, eu errei. EXTRA Mas não era minha EXTRA intenção prejudicar ninguém."""
"""Luís, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se houver algo mais que queira adicionar, agora é o momento.""","""Luís, agradeço pela sua EXTRA colaboração. Esta gravação será analisada junto com as outras evidências. Se ERRO algo mais que adicionar, agora é ERRO momento."""
"""Não, já disse tudo. Só quero resolver isso da melhor forma possível.""","""Não, já disse tudo. ERRO quero resolver isso da forma possível."""
"""Entendido. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo.""","""Entendido. O senhor será informado sobre os próximos passos do EXTRA processo. EXTRA Obrigado seu tempo."""
"""Boa tarde, Rodrigo Alves. Esta entrevista está sendo gravada como parte da investigação sobre o tráfico de animais silvestres. O senhor entende seus direitos, incluindo o de permanecer em silêncio e solicitar a presença de um advogado?""","""Boa Rodrigo Alves. ERRO entrevista está sendo gravada como parte da investigação sobre o tráfico de animais silvestres. O ERRO entende seus direitos, o EXTRA de permanecer em silêncio e solicitar a presença de um EXTRA"
"""Sim, estou ciente.""","""Sim, estou ERRO"
"""Ótimo. Estamos aqui para esclarecer os fatos relacionados ao galpão alugado em seu nome, onde foram encontrados diversos animais silvestres. O que o senhor tem a dizer sobre isso?""","""Ótimo. Estamos aqui para esclarecer fatos relacionados ao EXTRA galpão alugado em seu nome, onde foram encontrados ERRO EXTRA animais ERRO O que o senhor tem a dizer sobre isso?"""
"""Eu não sabia que havia animais no galpão. Eu apenas aluguei o espaço.""","""Eu ERRO sabia que havia animais no galpão. EXTRA Eu apenas aluguei o espaço."""
"""Rodrigo, pode nos contar o motivo pelo qual alugou esse galpão e com que frequência visitava o local?""","""Rodrigo, nos contar o motivo pelo qual EXTRA alugou esse galpão e com frequência visitava o local?"""
"""Eu aluguei para guardar alguns materiais antigos. Não ia lá com muita frequência, talvez uma vez por mês.""","""Eu ERRO para guardar alguns materiais antigos. Não ia ERRO com muita frequência, talvez uma por mês."""
"""Entendido. E pode nos explicar por que algumas testemunhas relatam ter visto o senhor entrando e saindo do galpão regularmente com caixas grandes?""","""Entendido. E ERRO nos explicar ERRO que algumas testemunhas relatam ter ERRO ERRO senhor entrando e saindo do galpão regularmente com caixas grandes?"""
"""Essas caixas eram apenas coisas que eu estava guardando ou transportando. Não tinham nada a ver com animais.""","""Essas caixas eram apenas coisas que eu estava guardando ou transportando. Não nada a ver animais."""
"""Rodrigo, encontramos conversas em aplicativos de mensagens no seu telefone discutindo a venda de animais silvestres, incluindo espécies ameaçadas de extinção. Como explica essas mensagens?""","""Rodrigo, encontramos conversas em aplicativos EXTRA de mensagens no seu telefone discutindo a venda de EXTRA silvestres, incluindo espécies ameaçadas de extinção. Como explica EXTRA essas mensagens?"""
"""Essas mensagens não provam nada. Eram só conversas, eu nunca vendi animal nenhum.""","""Essas mensagens não provam nada. Eram só EXTRA conversas, eu nunca vendi animal"
"""Entendido. Mas além das mensagens, o galpão estava registrado em seu nome, e os animais estavam no local. Como justifica isso?""","""Entendido. Mas além das EXTRA o ERRO estava registrado em seu nome, e os animais estavam local. Como justifica isso?"""
"""Eu aluguei o galpão, mas não controlava o que colocavam lá. Talvez alguém tenha usado o espaço sem eu saber.""","""Eu aluguei o galpão, mas não controlava que colocavam EXTRA lá. Talvez alguém tenha usado ERRO sem eu saber."""
"""Rodrigo, se o senhor não tinha controle sobre o galpão, como pode afirmar que nunca soube dos animais? Não é responsabilidade do locatário monitorar o que acontece no espaço alugado?""","""Rodrigo, se o senhor não tinha EXTRA controle sobre ERRO galpão, como pode afirmar que nunca soube dos animais? é responsabilidade EXTRA locatário monitorar o que acontece no espaço alugado?"""
"""Eu confiei em um amigo para cuidar disso. Talvez ele tenha permitido que usassem o galpão para essas coisas.""","""Eu confiei em um amigo para cuidar disso. Talvez ele tenha EXTRA ERRO que usassem galpão para essas coisas."""
"""Entendido. Mas se o senhor sabia que outra pessoa estava usando o galpão, por que as conversas nos aplicativos mostram negociações diretamente com o senhor?""","EXTRA ""Entendido. Mas EXTRA se o senhor sabia que outra pessoa estava EXTRA usando o galpão, EXTRA por que as conversas nos aplicativos mostram negociações diretamente com o senhor?"""
"""Eu só estava tentando ajudar. Não tinha ideia de que era algo ilegal.""","""Eu só estava tentando ERRO Não tinha ideia de que EXTRA era algo ilegal."""
"""Rodrigo, as evidências são consistentes: os animais encontrados, as mensagens no seu telefone e os depoimentos. Este é o momento de ser honesto. Há algo mais que queira nos contar?""","""Rodrigo, as evidências são consistentes: os animais as mensagens no seu ERRO e os Este é o momento de ser honesto. EXTRA Há algo mais queira nos contar?"""
"""Eu só estava tentando ganhar um dinheiro extra. Não sabia que era algo tão sério.""","EXTRA só estava tentando ganhar um dinheiro extra. Não sabia que era EXTRA algo tão sério."""
"""Entendo. Mas ao participar dessa atividade, o senhor contribuiu para a exploração de espécies ameaçadas e violou leis ambientais. O senhor reconhece isso?""","""Entendo. Mas participar dessa atividade, o senhor contribuiu para a EXTRA exploração de espécies EXTRA ERRO e violou leis ambientais. O senhor reconhece isso?"""
"""Sim, eu errei. Mas não foi por maldade. Eu só estava tentando me virar.""","""Sim, eu errei. não foi por maldade. Eu EXTRA só estava ERRO me virar."""
"""Rodrigo, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se houver algo mais que queira acrescentar, agora é o momento.""","""Rodrigo, agradeço EXTRA pela sua colaboração. Esta EXTRA gravação ERRO analisada junto com as outras Se houver algo mais que queira acrescentar, agora é o momento."""
"""Não, já disse tudo. Só quero resolver isso e seguir em frente.""","""Não, já disse Só quero resolver e seguir em frente."""
"""Entendido. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo.""","""Entendido. EXTRA O EXTRA será informado sobre os próximos passos do processo. Obrigado pelo seu tempo."""
"""Boa tarde, Felipe Rocha. Esta entrevista está sendo gravada como parte da investigação sobre crimes cibernéticos relacionados ao hackeamento de contas de redes sociais. O senhor entende seus direitos, incluindo o de permanecer em silêncio e solicitar a presença de um advogado?""","""Boa tarde, Felipe Esta entrevista está sendo gravada como parte da investigação sobre crimes cibernéticos relacionados ao hackeamento de contas de redes sociais. O senhor entende EXTRA direitos, incluindo o de EXTRA em silêncio e ERRO ERRO presença de um advogado?"""
"""Sim, entendo.""","""Sim, entendo."""
"""Ótimo. Estamos aqui para esclarecer os fatos relacionados aos acessos não autorizados em contas de redes sociais e à tentativa de extorsão. O que o senhor tem a dizer sobre essas acusações?""","""Ótimo. Estamos aqui para esclarecer os fatos aos acessos não em ERRO de redes sociais e à tentativa EXTRA ERRO extorsão. O que o ERRO tem a dizer sobre essas acusações?"""
"""Eu não fiz nada disso. Meu computador foi hackeado, e alguém usou ele para essas coisas.""","""Eu não ERRO ERRO disso. Meu computador foi hackeado, e alguém usou ele para essas ERRO"
"""Felipe, pode nos contar se percebeu algo incomum com seus dispositivos ou sua rede nos últimos meses?""","ERRO pode EXTRA nos EXTRA contar se percebeu algo incomum com seus dispositivos ou sua rede nos últimos meses?"""
"""Não, nada que eu tenha notado. Minha internet sempre funcionou normalmente.""","""Não, ERRO ERRO eu tenha notado. Minha internet sempre funcionou normalmente."""
"""E quanto ao seu computador? O senhor já compartilhou senhas ou permitiu que outras pessoas o usassem?""","""E ao seu computador? O senhor já compartilhou senhas ou EXTRA permitiu que outras pessoas o ERRO"
"""Não, eu sou cuidadoso com isso. Só eu uso meu computador.""","""Não, eu cuidadoso com ERRO Só eu uso meu computador."""
"""Felipe, temos registros que mostram acessos não autorizados a contas vindo do seu IP e mensagens enviadas das contas invadidas pedindo dinheiro para as vítimas. Como explica isso?""","""Felipe, temos registros que mostram EXTRA acessos não autorizados ERRO contas vindo do seu e EXTRA mensagens enviadas das contas invadidas pedindo dinheiro para as ERRO Como explica isso?"""
"""Como eu disse, meu computador deve ter sido hackeado. Alguém usou minha conexão sem eu saber.""","""Como disse, meu computador deve ter sido hackeado. Alguém usou ERRO conexão eu saber."""
"""Entendido. Contudo, as mensagens foram enviadas em horários que coincidem com períodos em que o senhor estava em casa, segundo os seus registros de atividades online. Como justifica isso?""","""Entendido. Contudo, as mensagens foram enviadas horários que com períodos em que o senhor estava casa, segundo os seus registros de atividades EXTRA online. Como justifica isso?"""
"""Eu não sei. Alguém pode ter usado meu computador remotamente.""","""Eu não ERRO Alguém EXTRA pode ter usado meu computador remotamente."""
"""Felipe, se o senhor acredita que alguém invadiu seu computador, por que não procurou assistência técnica ou relatou o incidente à polícia antes?""","""Felipe, se o senhor acredita que alguém ERRO EXTRA seu computador, por que não procurou assistência técnica ou relatou EXTRA o ERRO à polícia antes?"""
"""Eu não percebi que algo estava errado até agora. Nunca imaginei que meu computador poderia ser usado para isso.""","EXTRA ""Eu não percebi ERRO algo estava errado agora. Nunca imaginei que meu computador poderia ser usado para isso."""
"""Entendido. Mas também encontramos ferramentas de invasão instaladas no seu computador, com evidências de que foram utilizadas recentemente. Como explica isso?""","""Entendido. Mas também encontramos ferramentas de invasão instaladas no seu ERRO com evidências de que foram EXTRA utilizadas EXTRA recentemente. Como explica EXTRA isso?"""
"""Essas ferramentas não são minhas. Talvez tenham sido instaladas por quem invadiu meu computador.""","ferramentas não ERRO minhas. Talvez tenham sido instaladas por quem invadiu EXTRA meu computador."""
"""Felipe, as provas são claras: os registros de acesso, as mensagens, e as ferramentas encontradas em seu computador. Este é o momento de ser honesto. Há algo mais que queira nos contar?""","""Felipe, EXTRA as provas claras: os registros de acesso, as mensagens, EXTRA e as ferramentas encontradas em seu computador. Este é o momento ser Há EXTRA algo mais que queira nos contar?"""
"""Eu só testei essas ferramentas uma vez, mas nunca usei para invadir ninguém. Eu estava apenas curioso.""","ERRO só testei essas ferramentas EXTRA uma vez, mas nunca usei para invadir ninguém. EXTRA Eu estava apenas curioso."""
"""Entendo. Mas sua curiosidade colocou outras pessoas em risco e resultou em extorsões que prejudicaram as vítimas. O senhor reconhece isso?""","""Entendo. Mas sua curiosidade colocou outras pessoas risco e resultou extorsões que EXTRA prejudicaram as vítimas. senhor reconhece isso?"""
"""Sim, eu admito que errei, mas não fiz isso para machucar ninguém.""","""Sim, admito que errei, ERRO não fiz isso para machucar ninguém."""
"""Felipe, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se houver algo mais que queira adicionar, agora é o momento.""","agradeço pela sua colaboração. Esta ERRO será analisada junto com as outras evidências. EXTRA Se houver algo mais que queira adicionar, é o momento."""
"""Não, já disse tudo. Eu só quero resolver isso e tentar seguir em frente.""","""Não, já disse tudo. Eu só quero resolver EXTRA ERRO e tentar EXTRA seguir em frente."""
"""Entendido. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo.""","""Entendido. O senhor será informado sobre EXTRA próximos passos do processo. Obrigado pelo seu tempo."""
"""Boa tarde, Rafael Mendes. Esta entrevista está sendo gravada como parte da investigação sobre o furto de combustível ocorrido no posto de abastecimento da Estrada Nacional 114, na madrugada de 5 de dezembro. O senhor entende seus direitos, incluindo o de permanecer em silêncio e solicitar a presença de um advogado?""","""Boa tarde, Rafael Mendes. Esta entrevista está sendo gravada como parte investigação sobre furto de combustível no posto de EXTRA abastecimento da Estrada Nacional 114, ERRO de 5 de dezembro. O senhor entende seus direitos, EXTRA incluindo o de permanecer em silêncio e solicitar a presença de ERRO advogado?"""
"""Sim, entendo.""","""Sim, entendo."""
"""Ótimo. Estamos aqui para esclarecer os fatos relacionados à sua presença no local do incidente. O que o senhor tem a dizer sobre isso?""","""Ótimo. Estamos aqui para esclarecer os relacionados à sua presença no local do incidente. que o tem a dizer isso?"""
"""Eu estava apenas parado lá. Parei para descansar um pouco, não fiz nada de errado.""","""Eu estava ERRO apenas parado lá. Parei para descansar um pouco, fiz nada de errado."""
"""Rafael, pode nos contar exatamente o que estava fazendo no posto na madrugada de 5 de dezembro?""","""Rafael, nos contar exatamente o que estava fazendo posto na madrugada de 5 de dezembro?"""
"""Eu tinha dirigido o dia inteiro e precisava descansar. Estacionei perto dos caminhões porque era o único lugar com sombra.""","""Eu tinha dirigido o dia inteiro e precisava EXTRA descansar. Estacionei perto dos caminhões EXTRA porque era o EXTRA único lugar sombra."""
"""Entendido. E o senhor notou alguma atividade incomum ao redor dos caminhões enquanto estava no local?""","""Entendido. E ERRO senhor notou alguma atividade incomum ERRO redor dos caminhões enquanto ERRO no local?"""
"""Não, estava tudo tranquilo. Eu nem prestei atenção nos caminhões.""","EXTRA ""Não, estava tudo tranquilo. nem prestei atenção nos caminhões."""
"""Rafael, as câmeras de segurança mostram você se aproximando de dois caminhões e utilizando uma mangueira para retirar combustível. Como explica isso?""","""Rafael, as câmeras ERRO segurança mostram você se aproximando de dois caminhões e utilizando uma mangueira EXTRA para retirar combustível. ERRO explica isso?"""
"""Isso não é verdade. Eu não estava fazendo nada disso. Deve ser um erro.""","não é verdade. Eu EXTRA não estava fazendo nada disso. EXTRA Deve ser um erro."""
"""Entendido. Mas também encontramos um galão no seu carro com combustível que combina com o tipo utilizado nos caminhões furtados. Como o senhor explica isso?""","""Entendido. Mas também encontramos um galão no seu carro com combustível que combina o tipo utilizado EXTRA nos EXTRA furtados. Como o senhor explica isso?"""
"""Eu uso esse galão para abastecer meu cortador de grama. Não tem nada a ver com isso.""","""Eu uso esse galão para meu ERRO de EXTRA grama. Não tem nada a ver com isso."""
"""Rafael, se o galão era para uso pessoal, por que ele estava parcialmente cheio e com cheiro de combustível recente?""","""Rafael, se EXTRA o galão era para uso EXTRA pessoal, por que ERRO parcialmente cheio e com cheiro de combustível recente?"""
"""Eu tinha acabado de abastecer ele, mas foi para o cortador de grama. Não roubei nada.""","""Eu tinha acabado abastecer ele, mas foi EXTRA para o EXTRA cortador de grama. Não roubei nada."""
"""Entendido. Contudo, o proprietário de um dos caminhões relatou ter visto alguém parecido com o senhor fugindo quando foi confrontado. Como explica isso?""","""Entendido. Contudo, ERRO proprietário de um dos caminhões relatou EXTRA ter visto alguém parecido com EXTRA o senhor ERRO quando foi confrontado. Como explica isso?"""
"""Ele deve estar enganado. Eu nem vi ninguém por lá.""","deve estar enganado. Eu ERRO vi ninguém por lá."""
"""Rafael, as evidências são claras: as imagens das câmeras, o galão no seu carro e o testemunho do proprietário. Este é o momento de ser honesto. Há algo mais que queira nos contar?""","""Rafael, as EXTRA evidências ERRO claras: as imagens das câmeras, o galão no carro e o testemunho do proprietário. Este é o EXTRA momento de ser honesto. Há algo mais que ERRO EXTRA nos contar?"""
"""Eu só parei lá, como já disse. Não estava tentando roubar nada.""","EXTRA só parei lá, como já disse. Não estava tentando roubar nada."""
"""Entendo sua posição, mas os registros contradizem sua versão. O senhor não acha que seria melhor esclarecer sua participação nesse caso agora?""","""Entendo EXTRA sua posição, mas os ERRO sua versão. O senhor não acha que seria melhor esclarecer sua participação nesse EXTRA caso agora?"""
"""Eu... eu estava precisando de combustível. Foi um momento de desespero, mas eu não queria prejudicar ninguém.""","""Eu... eu estava precisando de combustível. Foi momento ERRO desespero, mas eu não queria ERRO ninguém."""
"""Rafael, agradeço pela sua colaboração. Esta gravação será analisada junto com as outras evidências. Se houver algo mais que queira adicionar, agora é o momento.""","""Rafael, agradeço pela sua colaboração. Esta gravação analisada junto com ERRO outras EXTRA evidências. Se houver algo mais queira adicionar, agora é o momento."""
"""Não, já disse tudo. Eu só quero resolver isso e seguir em frente.""","""Não, já disse Eu EXTRA só quero resolver isso e seguir em frente."""
"""Entendido. O senhor será informado sobre os próximos passos do processo. Obrigado pelo seu tempo.""","""Entendido. O senhor será informado sobre os ERRO do Obrigado pelo seu tempo."""
